english,urdu
"Their meat will not reach Allah, nor will their blood, but what reaches Him is piety from you. Thus have We subjected them to you that you may glorify Allah for that [to] which He has guided you; and give good tidings to the doers of good.",اللہ تعالیٰ کو قربانیوں کے گوشت نہیں پہنچتے نہ اس کے خون بلکہ اسے تو تمہارے دل کی پرہیزگاری پہنچتی ہے۔ اسی طرح اللہ نے ان جانوروں کو تمہارے مطیع کر دیا ہے کہ تم اس کی رہنمائی کے شکریئے میں اس کی بڑائیاں بیان کرو، اور نیک لوگوں کو خوشخبری سنا دیجئے!
So let the unbelief of the unbeliever not grieve you. To Us is their return and then We shall inform them of all that they did. Surely Allah knows well even the secrets that are hidden in the breasts (of people).,اور جو کفر کرے تو تم اس کے کفر سے غم نہ کھاؤ، انھیں ہماری ہی طرف پھرنا ہے ہم انہیں بتادیں گے جو کرتے تھے بیشک اللہ دلوں کی بات جانتا ہے،
"Say, ""Allah is most knowing of how long they remained. He has [knowledge of] the unseen [aspects] of the heavens and the earth. How Seeing is He and how Hearing! They have not besides Him any protector, and He shares not His legislation with anyone.""",آپ کہہ دیجئے کہ اللہ ان کی مدّاُ قیام سے زیادہ باخبر ہے اسی کے لئے آسمان و زمین کا سارا غیب ہے اور اس کی سماعت وبصارت کا کیا کہنا ان لوگوں کے لئے اس کے علاوہ کوئی سرپرست نہیں ہے اورنہ وہ کسی کو اپنے حکم میں شریک کرتا ہے
"If We give the human being a taste of mercy from Us, and then withdraw it from him, he becomes despairing and ungrateful.",اور اگر ہم انسان کو اپنے پاس سے نعمت بخشیں پھر اس سے اس کو چھین لیں تو ناامید (اور) ناشکرا (ہوجاتا) ہے
"And spend from what We have provided you before death approaches any one of you and he then says, “My Lord! Why did you not give me respite for a little while, so I would have given charity and become of the virtuous?”",اور تم اس (مال) میں سے جو ہم نے تمہیں عطا کیا ہے (اللہ کی راہ میں) خرچ کرو قبل اِس کے کہ تم میں سے کسی کو موت آجائے پھر وہ کہنے لگے: اے میرے رب! تو نے مجھے تھوڑی مدت تک کی مہلت اور کیوں نہ دے دی کہ میں صدقہ و خیرات کرلیتا اور نیکوکاروں میں سے ہو جاتا،
What! Has he knowledge of the Unseen so that he can see?,کیا اس کے پاس غیب کا علم ہے پس وہ دیکھ رہا ہے؟
"And when a Surah (chapter from the Quran) is revealed, enjoining them to believe in Allah and to strive hard and fight along with His Messenger, the wealthy among them ask your leave to exempt them (from Jihad) and say, ""Leave us (behind), we would be with those who sit (at home).""",اور جب کوئی سورت اترے کہ اللہ پر ایمان لاؤ اور اس کے رسول کے ہمراہ جہاد کرو تو ان کے مقدور والے تم سے رخصت مانگتے ہیں اور کہتے ہیں ہمیں چھوڑ دیجیے کہ بیٹھ رہنے والوں کے ساتھ ہولیں،
"To reclaim Our agricultural land,",Parre، ہمارے کھیتوں کی وصولی کے لئے
He was created from ejaculated water,وہ اچھلتے ہوئے پانی سے پیدا ہوا ہے
"whoever is patient and forgiving, acts with great courage and resolution.",اوریقینا جو صبر کرے اور معاف کردے تو اس کایہ عمل بڑے حوصلے کا کام ہے
- But I don't know how to parachute.,لیکن میں پیراشوٹ کیسے نہیں جانتے.
"Or do they know the future, and they are writing it down?",کیا ان کے پاس علم غیب ہے جسے یہ لکھ لیتے ہیں؟
- Okay. I believe you. - Three minutes.,ٹھیک ہے، میں تم پر یقین کرتا ہوں تین منٹ، کوشش کرو
And his plaint: ‘My Lord! Indeed these are a people who will not have faith!’,اور اسی (اللہ) کو رسول(ص) کے اس قول کا عِلم ہے کہ اے میرے پروردگار! یہ لوگ ایمان نہیں لاتے۔
WHAT YOU AND YOUR DAD HAVE.,مجھے احترام تم جاننا چاہتے ہو.
And they denied the truth when it came unto them. But there will come unto them the tidings of that which they used to deride.,چنانچہ انہوں نے اس حق (قرآن) کو بھی جھٹلایا جب وہ ان کے پاس آیا۔ سو عنقریب ان باتوں کی خبریں ان کے پاس آجائیں گی جن کا وہ مذاق اڑاتے رہے ہیں۔
"""We only feed you for the sake of God and we do not want any reward or thanks from you.",ہم جو تمہیں کھلاتے ہیں تو خاص الله کے لیے نہ ہمیں تم سے بدلہ لینا مقصود ہے اور نہ شکرگزاری
"He said: Hast come to drive us out from our land by thy magic, O Moses?",اس نے کہا: اے موسٰی! کیا تم ہمارے پاس اس لئے آئے ہو کہ تم اپنے جادو کے ذریعہ ہمیں ہمارے ملک سے نکال دو،
His heart did not lie of what he saw.,(اُن کے) دل نے اُس کے خلاف نہیں جانا جو (اُن کی) آنکھوں نے دیکھا،
"- Just hang in there, Paul. - Yeah. I'm trying.",اپنے آپ کو قابو میں رکھو پال ہاں، میں کوشش کر رہا ہوں
In order that ye may not transgress (due) balance.,تاکہ تم میزان (تولنے) میں زیادتی نہ کرو۔
Therefore Moosa put down his staff – it immediately turned into a visible python.,پھر اس نے اپنا عصا ڈال دیا وہ اس وقت صریح اژدھا ہو گیا
'No' they replied: 'We bring you (news) of that concerning which they were doubting.,انہوں نے کہا نہیں بلکہ ہم تیرے پاس وه چیز ﻻئے ہیں جس میں یہ لوگ شک شبہ کر رہے تھے
"(Saying): ""We feed you seeking Allah's Countenance only. We wish for no reward, nor thanks from you.",ان سے کہتے ہیں ہم تمہیں خاص اللہ کے لیے کھانا دیتےہیں تم سے کوئی بدلہ یا شکر گزاری نہیں مانگتے،
"When the stars lose their light,",پھر جب تارے محو کردیے جائیں،
"...then there's only one place that we can go to find out why they're coming after us. Yeah. We're gonna get killed there, for sure.",میں اپنی ہی ٹیم کے خلاف کھیلتی ہوں۔ میں سوچتی ہوں اس کے ساتھ گزرا وقت اتنا اچھا نہ ہوتا۔ کمال تھا۔-
"O you who believe! be careful of (your duty to) Allah and speak the right word,",مومنو خدا سے ڈرا کرو اور بات سیدھی کہا کرو
"They said, ‘It is the same to us whether you exhort us or not.",وہ بولے: ہمارے حق میں برابر ہے خواہ تم نصیحت کرو یا نصیحت کرنے والوں میں نہ بنو (ہم نہیں مانیں گے)،
We`d lose more men than we`d save.,ہم کو بچا تھا کے مقابلے میں زیادہ مردوں کو کھو دیں کروں گا.
"Arif Rafi, author of ‘Pakistan’s Resurgent Sectarian War’ report, explains:",پاکستان کی دوبارہ زندہ ہوجانے والی فرقہ وارانہ جنگ کے نام پر رپورٹ لکھنے والے مصنف عارف رفی کچھ یوں بیان کرتے ہیں:
"Turning towards Him—and be conscious of Him, and perform the prayer, and do not be of the idolaters.",(مومنو) اُسی (خدا) کی طرف رجوع کئے رہو اور اس سے ڈرتے رہو اور نماز پڑھتے رہو اور مشرکوں میں نہ ہونا
"No, I never been there.",نہیں، کبھی نہیں.
"Nah, that can't be done. That'd take time, planning.",میں یہ کر سکتا.
"And indeed We gave the Descendants of Israel the Book, and the rule, and the Prophethood, and gave good things for sustenance and gave them superiority over all others of their time.",اور بیشک ہم نے بنی اسرائیل کو کتاب اور حکومت اور نبوت عطا فرمائی، اور انہیں پاکیزہ چیزوں سے رزق دیا اور ہم نے انہیں (ان کے ہم زمانہ) جہانوں پر (یعنی اس دور کی قوموں اور تہذیبوں پر) فضیلت بخشی،
# We've come a long way from where we began,کےہمشروعکردیاجہاںسےایکطویل راستہآیا ہوں
"These! For them will be 'Adn (Eden) Paradise (everlasting Gardens); wherein rivers flow underneath them, therein they will be adorned with bracelets of gold, and they will wear green garments of fine and thick silk. They will recline therein on raised thrones. How good is the reward, and what an excellent Murtafaqa (dwelling, resting place, etc.)!",ان کے لئے ہمیشگی والی جنتیں ہیں، ان کے نیچے نہریں جاری ہوں گی، وہاں یہ سونے کے کنگن پہنائے جائیں گے اور سبز رنگ کے نرم وباریک اور موٹے ریشم کے لباس پہنیں گے، وہاں تختوں کے اوپر تکیے لگائے ہوئے ہوں گے۔ کیا خوب بدلہ ہے، اور کس قدر عمده آرام گاه ہے
"Had these (idols, etc.) been aliha (gods), they would not have entered there (Hell), and all of them will abide therein.",اگر یہ (واقعۃً) معبود ہوتے تو جہنم میں داخل نہ ہوتے، اور وہ سب اس میں ہمیشہ رہیں گے،
"When she heard of their sly whispers, she sent for them and prepared a banquet. To each she gave a knife, (then called Joseph saying:) 'Come and attend to them' When they saw him, they were so taken with him that they cut their hands, and said: 'Allah save us! This is no mortal, he is no other but a noble angel'",اس نے جب ان کی اس پر فریب غیبت کا حال سنا تو انہیں بلوا بھیجا اور ان کے لئے ایک مجلس مرتب کی اور ان میں سے ہر ایک کو چھری دی۔ اور کہا اے یوسف! ان کے سامنے چلے آؤ، ان عورتوں نے جب اسے دیکھا تو بہت بڑا جانا اور اپنے ہاتھ کاٹ لئے، اور زبان سے نکل گیا کہ حاشاللہ! یہ انسان تو ہرگز نہیں، یہ تو یقیناً کوئی بہت ہی بزرگ فرشتہ ہے
"And naught preventeth that their contributions should be accepted from them save that they have disbelieved in Allah and in His messenger, and they come not to worship save as idlers, and pay not (their contribution) save reluctantly.",اور ان کے خر چ کے قبول ہونے سے کوئی چیز مانع نہیں ہوئی سوائے اس کے کہ انہوں نے الله اور اس کے رسول سے کفرکیا اورنماز میں سست ہو کر آتے ہیں اور ناخوش ہو کر خرچ کرتے ہیں
"So fear Allah, and obey me.",تو خدا سے ڈرو اور میری اطاعت کرو
"You're there, apparently!",وہ وہاں ہیں!
"He said to his father and to his nation: 'What, are these the statues to which you cling'",جب انہوں نے اپنے باپ اور اپنی قوم کے لوگوں سے کہا یہ کیا مورتیں ہیں جن (کی پرستش) پر تم معتکف (وقائم) ہو؟
"And if anyone of the polytheists asks you for protection, give him protection so that he may hear the Word of God; then escort him to his place of safety. That is because they are a people who do not know.",اگر مشرکوں میں سے کوئی تجھ سے پناه طلب کرے تو تو اسے پناه دے دے یہاں تک کہ وه کلام اللہ سن لے پھر اسے اپنی جائے امن تک پہنچا دے۔ یہ اس لئے کہ یہ لوگ بے علم ہیں
THAT WE CAN PREDICT THESE THINGS NOW.,لوگوں کو معلوم کرنے کی ضرورت.
"Nine PM, five million money.",رات نو بجے، پانچ ملین کی رقم
He knoweth whatsoever is before them and whatsoever is behind them; and unto Allah are returned all affairs,وہ ان کے سامنے اور پبُ پشت کی تمام باتوں کو جانتا ہے اور تمام امور اسی کی طرف پلٹ کر جانے والے ہیں
How many fools do you think have asked themselves;..,"they merely revolve from east to west,"
"and gathered [the people] and proclaimed,",تو لوگوں کو جمع کیا پھر پکارا،
"On the day when the Shin* will be exposed and they will be called to prostrate themselves, they will be unable. (Used as a metaphor)",جس دن پنڈلی کھول دی جائے گی اور سجدے کے لیے بلائے جائیں گے تو (سجده) نہ کر سکیں گے
"(for His messengership) - a people alike and the seed of one another. Allah is All-Hearing, All-Knowing.",یہ ایک ہی نسل ہے ان میں سے بعض بعض کی اولاد ہیں، اور اﷲ خوب سننے والا خوب جاننے والا ہے،
"Is he, then, whom We have promised an excellent promise which he is going to meet, like unto him whom We have suffered to enjoy awhile the enjoyment of the life of the world, then on the Day of Resurrection he shall be of those brought up!",تو کیا وہ جسے ہم نے اچھا وعدہ دیا تو وہ اس سے ملے گا اس جیسا ہے جسے ہم نے دنیوی زندگی کا برتاؤ برتنے دیا پھر وہ قیامت کے دن گرفتار کرکے حاضر لایا جائے گا
He has created the heavens and the earth for a genuine purpose. He is too Exalted to be considered equal to anything else.,اس نے آسمان اور زمین بجا بنائے وہ ان کے شرک سے برتر ہے،
Hitler appointed the Nazi philosopher Alfred Rosenberg (1893-1946) head of the Ostministerium (East Ministry) in charge of administering the territory of Ukraine.,ہٹلر نے نازی فلسفی ایلفریڈ روزن برگ (1893-1946) کو مشرقی وزارت کا سربراہ اور یوکرائن کے علاقے کے انتظام کا انچارج مقرر کیا۔
"Such were the 'Ad People: they rejected the Signs of their Lord and Cherisher; disobeyed His messengers; And followed the command of every powerful, obstinate transgressor.",اور یہ عاد تھے کہ اپنے رب کی باتوں سے منکر ہوئے اوراس کے رسولوں کو نہ مانا اور ہر ایک جبار سرکش کا حکم مانتے تھے
"then he will neither live in it, nor die.",پھر وہاں نہ مرے گا اور نہ جئے گا
"and the rain-spreading winds,",اور ان کی قَسم جو بادلوں کو ہر طرف پھیلا دیتی ہیں،
I'm a truck driver. An American. I'm a civilian contractor working in Iraq.,میں ایک امریکی ٹرک ڈرائیور ہوں میں عراق میں کام کرنے والا ایک سول کنٹریکٹر ہوں
"[They say,] ‘Our Lord! Do not make our hearts swerve after You have guided us, and bestow Your mercy on us. Indeed, You are the All-munificent.",(اور عرض کرتے ہیں:) اے ہمارے رب! ہمارے دلوں میں کجی پیدا نہ کر اس کے بعد کہ تو نے ہمیں ہدایت سے سرفراز فرمایا ہے اور ہمیں خاص اپنی طرف سے رحمت عطا فرما، بیشک تو ہی بہت عطا فرمانے والا ہے،
"It's to add to our cause, all the Christians in the city.",شہر سے تمام عیسائیوں کو اپنے مقصد میں شامل کرنا ہے
"So eat and drink and be contented. And if you see from among humanity anyone, say, 'Indeed, I have vowed to the Most Merciful abstention, so I will not speak today to [any] man.' """,سوکھا اور پی اور آنکھ ٹھنڈی کر پھر اگر تو کوئی آدمی دیکھے تو کہہ دے کہ میں نے رحمان کے لیے روزہ کی نذر مانی ہے سو آج میں کسی انسان سے بات نہیں کروں گی
and forsake the Hereafter.,اور آخرت (دیر سے آنے والی) کو چھوڑتے ہو۔
"Except such as have Faith, and do righteous deeds, and (join together) in the mutual teaching of Truth, and of Patience and Constancy.",مگر جو لوگ ایمان لائے اور نیک کام کیے اور حق پر قائم رہنے کی اور صبر کرنے کی آپس میں وصیت کرتے رہے
"Said Sulaiman, “We shall now see whether you spoke the truth or are among the liars.”","سلیمانؑ نے کہا ""ابھی ہم دیکھے لیتے ہیں کہ تو نے سچ کہا ہے یا تو جھوٹ بولنے والوں میں سے ہے"
"Falsehood can not reach it from any direction. It is the revelation from the All-wise, Praiseworthy One.",باطل کا اس کے پاس گزر نہیں ہے وہ نہ اس کے آگے سے آسکتا ہے اور نہ پیچھے سے یہ اس ذات کی طرف سے نازل شدہ ہے جو بڑی حکمت والی ہے (اور) قابلِ ستائش ہے۔
S_elect the files you want to update:,فائل _منتخب کریں جس کی آپ تجدید کرنا چاہتے ہیں:
The People of the Woods disbelieved the messengers.,بن والوں نے بھی پیعمبروں کو جھٹلایا
We shall maintain proper justice on the Day of Judgment. No soul will be wronged the least. For a deed even as small as a mustard seed one will duly be recompensed. We are efficient in maintaining the account.,قیامت کے دن ہم درمیان میں ﻻ رکھیں گے ٹھیک ٹھیک تولنے والی ترازو کو۔ پھر کسی پر کچھ بھی ﻇلم نہ کیا جائے گا۔ اور اگر ایک رائی کے دانے کے برابر بھی عمل ہوگا ہم اسے ﻻ حاضر کریں گے، اور ہم کافی ہیں حساب کرنے والے
"He said to his slaves, “Place their means back into their sacks, perhaps they may recognise it when they return to their homes, perhaps they may come again.”",اور یوسف نے اپنے جوانوں (غلاموں) سے کہا کہ ان کی پونجی (جس کے عوض غلہ خریدا ہے) ان کے سامان میں رکھ دو۔ تاکہ جب اپنے گھر والوں کے پاس لوٹ کر جائیں تو اسے پہچانیں (اور) شاید دوبارہ آئیں۔
"And they ask you to hasten on the torment (for them), and had it not been for a term appointed, the torment would certainly have come to them. And surely, it will come upon them suddenly while they perceive not!",اور یہ لوگ عذاب کی جلدی کررہے ہیں حالانکہ اگر اس کا وقت معین نہ ہوتا تو اب تک عذاب آچکا ہوتا اور وہ اچانک ہی آئے گا جب انہیں شعور بھی نہ ہوگا
"And do not drive away those who call upon their Lord in the morning and the evening, they desire only His favor; neither are you answerable for any reckoning of theirs, nor are they answerable for any reckoning of yours, so that you should drive them away and thus be of the unjust.",اور جو لوگ اپنے رب کو رات دن پکارتے رہتے ہیں او ر اس کی خوشنودی کی طلب میں لگے ہوئے ہیں انہیں اپنے سے دور نہ پھینکو اُن کے حساب میں سے کسی چیز کا بار تم پر نہیں ہے اور تمہارے حساب میں سے کسی چیز کا بار اُن پر نہیں اس پر بھی اگر تم انہیں دور پھینکو گے تو ظالموں میں شمار ہو گے
"Did you see him who turned away,",(اے رسول(ص)) کیا آپ(ص) نے اس شخص کو دیکھا ہے جس نے رُوگردانی کی۔
"Whatsoever is in the heavens and the earth belongs to Him, and His the judgement for ever. So will you fear any other than God?",آسمانوں میں اور زمین میں جو کچھ ہے سب اسی کا ہے اور اسی کی عبادت ﻻزم ہے، کیا پھر تم اس کے سوا اوروں سے ڈرتے ہو؟
It is most hateful in the sight of God if you say something and do not practice it.,خدا اس بات سے سخت بیزار ہے کہ ایسی بات کہو جو کرو نہیں
Those who do not believe in the life to come are evil examples. To God belongs all the exalted attributes; He is the Majestic and the All-wise.,جو لوگ آخرت پر ایمان نہیں رکھتے ان ہی کے لیے بری باتیں (شایان) ہیں۔ اور خدا کو صفت اعلیٰ (زیب دیتی ہے) اور وہ غالب حکمت والا ہے
"And why should you not eat of that (meat) on which Allah's Name has been pronounced (at the time of slaughtering the animal), while He has explained to you in detail what is forbidden to you, except under compulsion of necessity? And surely many do lead (mankind) astray by their own desires through lack of knowledge. Certainly your Lord knows best the transgressors.",اور تمہیں کیا ہوگیا ہے کہ تم اس (ذبیحہ) میں سے نہیں کھاتے جس پر اللہ کا نام لیا گیا ہے؟ حالانکہ اس نے جن (جانوروں) کو تم پر حرام قرار دیا ہے ان کو تمہارے لئے تفصیل سے بیان کر دیا ہے۔ سوائے اس کے جس کے کھانے کی طرف تم مضطر و مجبور ہو جاؤ (تو پھر حرام بھی کھا سکتے ہو) اور یقیناً بہت سے لوگ علم کے بغیر محض اپنی خواہشات کی بنا پر گمراہ کرتے ہیں بے شک آپ کا پروردگار حد سے بڑھنے والوں کو خوب جانتا ہے۔
"He brings forth the living from the dead and brings forth the dead from the living, and revives the earth after it is dead. Likewise will you be raised to life (after you die).",وہی زندے کو مردے سے نکالتا اور (وہی) مردے کو زندے سے نکالتا ہے اور (وہی) زمین کو اس کے مرنے کے بعد زندہ کرتا ہے۔ اور اسی طرح تم (دوبارہ زمین میں سے) نکالے جاؤ گے
And that He (Allah) is the Lord of Sirius (the star which the pagan Arabs used to worship);,اور یہ کہ وہی شعریٰ کا مالک ہے
"We do not yet have a permit to use a gun ... fast, they come!",گولہ بارود استعمال کرنے کی اجازت نہیں ہے ابھی تک... فوری، وہ آ رہے ہیں!
"So We have taught thee the inspired (Message), ""Follow the ways of Abraham the True in Faith, and he joined not gods with Allah.""",اے رسول(ص) پھر ہم نے آپ کی طرف وحی کی کہ یکسو ہوکر ابراہیم کی ملت (طریقہ) کی پیروی کریں جو یقیناً مشرکوں میں سے نہیں تھے۔
Move! Move! Let's go.,حرکت کرو، حرکت کرو، چلو چلیں
"As for those who disbelieve, if they possessed all that the earth contains and as much besides to ransom themselves from the punishment of the Day of Resurrection, it shall not be accepted from them. Theirs shall be a painful punishment.",بے شک وہ لوگ جنہوں نے کفر اختیار کیا اگر ان کے پاس وہ سب کچھ ہو جو زمین میں ہے اور اتنا اور بھی ہو، تاکہ اسے بطور فدیہ دیں اور قیامت کے دن عذاب سے بچ جائیں، تو وہ بھی ان سے قبول نہ کیا جائے گا۔ اور ان کے لئے دردناک عذاب ہے۔
"A man named Zaki responded in an email: Someone on social media came up with the idea - I read it and it struck a chord with me, so i decided to set up a quick website and put the word out there about this initiative. The response is overwhelming - people want to see this happen.",سماجی رابطے کی ویب سائٹ پر کسی نے یہ آئیڈیا دیا تو میں نے اس سے فورا یہ ویب سائٹ بنا ڈالی اور اس کا رسپونس بہت اچھا آیا ،،لوگ اس کام کو ہوتا دیکھنا چاہتے ہیں ،اب میں اس کوشش میں ہوں کہ اس کام کو کس طرح انجام دیا جائے اگر آپ کے پاس کوئی مشورہ ہو ،راستہ ہو تو آپ کو خوش آمدید کہتا ہوں
"From 10-16th December Jurrat (courage), a campaign on violence against women, is marking the anniversary of the heinous Delhi gang rape.",10 سے 16 دسمبر کو خواتین کے خلاف تشدد پر ایک مہم Jurrat (جرات)، دہلی میں ہونے والی سنگین اجتماعی عصمت دری کی برسی کے موقع پر تقریبات کا اہتمام کر رہا ہے.
* ALL THE LEAVES ARE BROWN * * AND THE SKY IS GRAY * * I'VE BEEN FOR A WALK *,* آسمان * بھوری رنگ ہے * تمام پتے * بھوری ہیں میں گیا ہے * ٹہلنے *
"But they denied him, and the dreadful earthquake took them, and morning found them prostrate in their dwelling place.",سو انہوں نے اسےجھٹلایا تب انہیں زلزلہ نے آ پکڑا پھر وہ اپنے گھروں میں اوندھے پڑے رہ گئے
"beginning with our prefect, have accepted Christ.",ہمارے ناظم سمیت، سب عیسیٰ پر ایمان لے آئے ہیں
What they did was just to see the reaction of the CIA officer having been arrested.,شکریہ مجھے نہیں پتا تھا کہ یہاں یہ پیٹیو بھی ہے۔
"Verily, He used not to believe in Allah, the Most Great,",بیشک یہ اللہ عظمت والے پرایمان نہ رکھتا تھا
"(Muhammad), they ask you, ""When will the Hour of Doom come?""",پیغمبر لوگ آپ سے قیامت کے بارے میں پوچھتے ہیں کہ اس کا ٹھکانا کب ہے
- You heard? - What is?,عجیب بات ہے کیا؟
WE'RE HAVING AN EARTHQUAKE.,ہم زلزلہ کر رہے ہیں.
"I don't buy it. Didn't you tell me yourself, nobody turns on al-Qaeda?",میں نہيں مانتا ۔ تم کہا کرتی تھی نا کہ القاعدہ والے بکاؤ نہیں ہوتے
"O ye who believe! Fear Allah, and give up what remains of your demand for usury, if ye are indeed believers.",اے ایمان والو! اللہ تعالیٰ سے ڈرو اور جو سود باقی رہ گیا ہے وہ چھوڑ دو، اگر تم سچ مچ ایمان والے ہو
Hast thou considered him who turns his back,بھلا تم نے اس شخص کو دیکھا جس نے منہ پھیر لیا
"Who has made us alight in a house abiding for ever out of His grace; toil shall not touch us therein, nor shall fatigue therein afflict us.",جس نے ہم کو اپنے فضل سے ہمیشہ رہنے کے مقام میں ﻻ اتارا جہاں نہ ہم کو کوئی تکلیف پہنچے گی اور نہ ہم کو کوئی خستگی پہنچے گی
"we do not know their exact location, but we have determined which district they are in.",ان کا درست پتہ تو نہیں معلوم نہیں لیکن اس علاقہ کا علم ہوگیا جہاں وہ روپوش ہیں
Running through here!,Corran اس طرف تاکنا!
No one has ever touched!,22،712 اس کے والدین بہت غریب ہیں. وہ مسز Gertrude جنوب میں دیکھا گیا تھا.
Go and show the whole world what the state of Israel can do!,چلو اور دنیا کو دکھا دو کہ اسرائیلی ریاست کس حد تک جاسکتی ہے
So that the People of the Book may know that they have no power over any of the favors of Allah; that the favors are in the Hand of Allah; He gives it towhom He will. The Favor of Allah is the Great.,تاکہ اہلِ کتاب یہ نہ سمجھیں کہ (مسلمان) الله کے فضل میں سے کچھ بھی حاصل نہیں کر سکتے اوریہ کہ فضل تو الله ہی کے ہاتھ میں ہے جس کو چاہے دے اور الله بڑا فضل کرنے والا ہے
"And in it We created livelihoods for you, and for those for whom you are not the providers.",اور تمہارے لیے اس میں روزیاں کردیں اور وہ کردیے جنہیں تم رزق نہیں دیتے
"Nay, but (man) has not done what He commanded him.",ہرگز نہیں، اِس نے وہ فرض ادا نہیں کیا جس کا اللہ نے اِسے حکم دیا تھا
and from idle talk turn away,اور جو بیہودہ باتوں سے منہ موڑتے ہیں۔
He is not coming to the next barbeque.,وہ اگلے بار بی کیو میں نہیں آ رہا۔
"1 word for PMLN govt ""incompetent"", they are blind to see the suffering & miseries of people.",ایک لفظ 'نا اہلی' میں اس حکومت کی تمام کارکردگی بیان ہو جاتی ہے، حکومت کو لوگوں کی مشکلات نظر نہیں آ رہیں۔
"Lord, grant that I may keep up the prayer, and so may my offspring. My Lord, accept my prayer.",اے پروردگار مجھ کو (ایسی توفیق عنایت) کر کہ نماز پڑھتا رہوں اور میری اولاد کو بھی (یہ توفیق بخش) اے پروردگار میری دعا قبول فرما
"You get Ramsey, you get the God's Eye... You get Shaw.",تم تم کو خدا کی آنکھ حاصل، ریمسی حاصل کریں ...
Go on ahead. I'll catch up with you soon.,تم نکلو۔ میں تھوڑی دیر میں نکلتا ہوں۔
Warn your tribe and your near kinsmen.,اور (اے رسول) اپنے قریب ترین رشتہ داروں کو (عذاب سے) ڈراؤ۔
"But those who were given knowledge and faith will say, ""You remained the extent of Allah 's decree until the Day of Resurrection, and this is the Day of Resurrection, but you did not used to know.""",اور جن لوگوں کو علم اور ایمان دیا گیا وه جواب دیں گے کہ تم تو جیسا کہ کتاب اللہ میں ہے یوم قیامت تک ٹھہرے رہے۔ آج کا یہ دن قیامت ہی کا دن ہے لیکن تم تو یقین ہی نہیں مانتے تھے
Fourth of July weekend in Atlantic City.,اٹلانٹک سٹی میں جولائی ہفتے کے آخر میں چوتھا.
For those who believe and do the right is forgiveness and gracious provision.,تو جو لوگ ایمان لائے اور نیک کام کئے ان کے لئے بخشش اور آبرو کی روزی ہے
"and when you seize [someone for punishment], you seize [him] like tyrants.",اور جب تم کسی پر حملہ کرتے ہو تو جبار و سرکش بن کر حملہ کرتے ہو؟
"So they threw their ropes and their sticks, and said, “By the majesty of Pharaoh, we will be the winners.”",تو ان لوگوں نے اپنی رسیوں اور چھڑیوں کو پھینک دیا اور کہا کہ فرعون کی عزّت و جلال کی قسم ہم لوگ غالب آنے والے ہیں
Send some money and she will calm down.,کچھ پیسے بھیجیں اور وہ پرسکون ہو جاؤ گے.
"The day when Allah will raise them all, they will swear in His presence the way they now swear in front of you, and they will assume that they have achieved something; pay heed! Indeed it is they who are the liars.",جس دن اللہ ان سب کو (دوبارہ) اٹھائے گا تو وہ اس کے سامنے بھی اسی طرح قَسمیں کھائیں گے جس طرح تمہارے سامنے کھاتے ہیں اور خیال کریں گے کہ وہ کسی چیز (بنیاد) پر ہیں خبردار! یہ لوگ بالکل جھوٹے ہیں۔
"Do they have deities [besides Allah] who have ordained for them a religion not permitted by Allah? Were it not for a [prior] conclusive word, judgement would have been made between them, and indeed a painful punishment awaits the wrongdoers.",کیا ان کے اور شریک ہیں جنہوں نے ان کے لیے دین کا وہ طریقہ نکالا ہے جس کی الله نے اجازت نہیں دی اور اگر فیصلہ کا وعدہ نہ ہوا ہوتا تو ان کا دنیا ہی میں فیصلہ ہو گیا ہو تا اور بے شک ظالموں کے لیے دردناک عذاب ہے
"You better have more than indications to occupy a holy city, with my troops!",خبریں؟ تمہارے پاس ایک مقدس شہر پر قبضہ کرنے کیلئے محض خبروں کے علاوہ کوئی جواز ہونا چاہئے تھا اور وہ بھی میری فوجیں استعمال کرتے ہوئے!
Have you considered him who turned away?,(اے رسول(ص)) کیا آپ(ص) نے اس شخص کو دیکھا ہے جس نے رُوگردانی کی۔
"And verily We have repeated it among them that they may remember, but most of mankind begrudge aught save ingratitude.",اور اگر ہم چاہتے تو ایک ایک بستی میں ایک ایک ڈرانے والا بھیجتے۔
"Say: 'Whosoever is in error, let the Most Merciful prolong his life span until they see that which they were threatened, be it a punishment, or the Hour. Thenshall they know whose is the worst place and who is weaker in hosts'",فرما دیجئے: جو شخص گمراہی میں مبتلا ہو تو (خدائے) رحمان (بھی) اسے عمر و عیش میں خوب مہلت دیتا رہتا ہے، یہاں تک کہ جب وہ لوگ اس چیز کو دیکھ لیں گے جس کا ان سے وعدہ کیا گیا ہے خواہ عذاب اور خواہ قیامت، تب وہ اس شخص کو جان لیں گے جو رہائش گاہ کے اعتبار سے (بھی) برا ہے اور لشکر کے اعتبار سے (بھی) کمزور تر ہے،
"and thy Lord comes, and the angels rank on rank,",اور تمہارا رب جلوہ فرما ہوگا اِس حال میں کہ فرشتے صف در صف کھڑے ہوں گے
And they made not the exception.,اور انشاء الله نہ کہا
"And they plotted, and Allah plotted, and Allah is the Best of plotters.",پھر (یہودی) کافروں نے (عیسٰی علیہ السلام کے قتل کے لئے) خفیہ سازش کی اور اﷲ نے (عیسٰی علیہ السلام کو بچانے کے لئے) مخفی تدبیر فرمائی، اور اﷲ سب سے بہتر مخفی تدبیر فرمانے والا ہے،
