context,question,answer
نئے یئشو کی فلسطین میں باقاعدہ تعمیرکا آغاز بیلو گروہ کی 1882ءمیں آمد کیساتھ جوڑا جاتا ہے ، جس نے پہلا علیا اختیار کیا۔ آمدہ برسوں میں ، فلسطین کی جانب یہودی ہجرت سرگرمی و سنجیدگی سے شروع ہوئی۔ اکثر یہودی مہاجرین روسی سلطنت موجودہ یوکرین اور پولستان سے کثیرالوقع پوگروم اور ریاستی سر پرستی میں عقوبت سے فرار ہوکر  آئے ۔ انہوں نے یہودی اور مغربی یورپی مخیر وں کی مدد سےمتعدد زرعی آبادکاریاں کیں۔ روسی انقلاب کے بعد پھوٹے متشدد  پوگروم اور 1930ء  کی دہائی کے نازی مظالم نے  علیا کو مزید ہوا دی۔ 19ویں صدی کے آخر تک یہود فلسطین میں ایک انتہائی چھوٹی سی اقلیت تھے۔1890ء کی دہائی میں،  تھیوڈور ہرتزل کےنئے نظریے اور عملی ناگزیریت  نےصہیونیت میں نئی روح پھونکی، جس کے نتیجے میں پہلی صہیونی مجلس  1897ء میں بازل کے مقام پر منعقد ہوئی، جس نے عالمی صہیونی تنظیم بنائی۔  ہرتزل کا مقصد ایسے اقدامات کا آغاز تھا  جو یہودی ریاست کے قیام کے لیے ضروری ہوں۔ ہرتزل نے فلسطین کے عثمانی حکمرانوں کے ساتھ سیاسی معاہدہ کرنے کی ناکام کوششں بھی کی اور دوسری حکومتوں کی بھی حمایت حاصل کرتا رہا۔ عالمی صہیونی تنظیم چھوٹے پیمانے پر یہودی آبادکاری کرتے رہے، ان کی زیادہ تر کوششیں عالمی یہودی وفاق  ترتیب دینے کے لیے یہودی احساسات و شعورکو اجاگر کرنے کیلئےصرف ہوتی رہیں۔,پہلی صہیونی اسمبلی کہاں منعقد ہوئی؟,['بازل ']
نئے یئشو کی فلسطین میں باقاعدہ تعمیرکا آغاز بیلو گروہ کی 1882ءمیں آمد کیساتھ جوڑا جاتا ہے ، جس نے پہلا علیا اختیار کیا۔ آمدہ برسوں میں ، فلسطین کی جانب یہودی ہجرت سرگرمی و سنجیدگی سے شروع ہوئی۔ اکثر یہودی مہاجرین روسی سلطنت موجودہ یوکرین اور پولستان سے کثیرالوقع پوگروم اور ریاستی سر پرستی میں عقوبت سے فرار ہوکر  آئے ۔ انہوں نے یہودی اور مغربی یورپی مخیر وں کی مدد سےمتعدد زرعی آبادکاریاں کیں۔ روسی انقلاب کے بعد پھوٹے متشدد  پوگروم اور 1930ء  کی دہائی کے نازی مظالم نے  علیا کو مزید ہوا دی۔ 19ویں صدی کے آخر تک یہود فلسطین میں ایک انتہائی چھوٹی سی اقلیت تھے۔1890ء کی دہائی میں،  تھیوڈور ہرتزل کےنئے نظریے اور عملی ناگزیریت  نےصہیونیت میں نئی روح پھونکی، جس کے نتیجے میں پہلی صہیونی مجلس  1897ء میں بازل کے مقام پر منعقد ہوئی، جس نے عالمی صہیونی تنظیم بنائی۔  ہرتزل کا مقصد ایسے اقدامات کا آغاز تھا  جو یہودی ریاست کے قیام کے لیے ضروری ہوں۔ ہرتزل نے فلسطین کے عثمانی حکمرانوں کے ساتھ سیاسی معاہدہ کرنے کی ناکام کوششں بھی کی اور دوسری حکومتوں کی بھی حمایت حاصل کرتا رہا۔ عالمی صہیونی تنظیم چھوٹے پیمانے پر یہودی آبادکاری کرتے رہے، ان کی زیادہ تر کوششیں عالمی یہودی وفاق  ترتیب دینے کے لیے یہودی احساسات و شعورکو اجاگر کرنے کیلئےصرف ہوتی رہیں۔,پہلی صہیونی اسمبلی میں جو تنظیم بنائی گئی اس کا نام کیا تھا؟,['عالمی صہیونی تنظیم']
نئے یئشو کی فلسطین میں باقاعدہ تعمیرکا آغاز بیلو گروہ کی 1882ءمیں آمد کیساتھ جوڑا جاتا ہے ، جس نے پہلا علیا اختیار کیا۔ آمدہ برسوں میں ، فلسطین کی جانب یہودی ہجرت سرگرمی و سنجیدگی سے شروع ہوئی۔ اکثر یہودی مہاجرین روسی سلطنت موجودہ یوکرین اور پولستان سے کثیرالوقع پوگروم اور ریاستی سر پرستی میں عقوبت سے فرار ہوکر  آئے ۔ انہوں نے یہودی اور مغربی یورپی مخیر وں کی مدد سےمتعدد زرعی آبادکاریاں کیں۔ روسی انقلاب کے بعد پھوٹے متشدد  پوگروم اور 1930ء  کی دہائی کے نازی مظالم نے  علیا کو مزید ہوا دی۔ 19ویں صدی کے آخر تک یہود فلسطین میں ایک انتہائی چھوٹی سی اقلیت تھے۔1890ء کی دہائی میں،  تھیوڈور ہرتزل کےنئے نظریے اور عملی ناگزیریت  نےصہیونیت میں نئی روح پھونکی، جس کے نتیجے میں پہلی صہیونی مجلس  1897ء میں بازل کے مقام پر منعقد ہوئی، جس نے عالمی صہیونی تنظیم بنائی۔  ہرتزل کا مقصد ایسے اقدامات کا آغاز تھا  جو یہودی ریاست کے قیام کے لیے ضروری ہوں۔ ہرتزل نے فلسطین کے عثمانی حکمرانوں کے ساتھ سیاسی معاہدہ کرنے کی ناکام کوششں بھی کی اور دوسری حکومتوں کی بھی حمایت حاصل کرتا رہا۔ عالمی صہیونی تنظیم چھوٹے پیمانے پر یہودی آبادکاری کرتے رہے، ان کی زیادہ تر کوششیں عالمی یہودی وفاق  ترتیب دینے کے لیے یہودی احساسات و شعورکو اجاگر کرنے کیلئےصرف ہوتی رہیں۔,فلسطین میں نئے یشو کی باقاعدہ تعمیر کا آغاز کس چیز سے ہے؟	,['بیلو گروہ کی 1882ءمیں آمد']
صہیونی تحریک کی پہلی دہائی کے دوران کئی صہیونی شخصیات نے فلسطین  سے باہر کی جگہوں (جیسے یوگنڈا اور ارجنٹائن)میں  یہودی ریاست کی حمایت کی ۔ حتی کہ تھیوڈور  ہرتزل، سیاسی صہیونیت کا بانی اولاً کہیں بھی خودعنان و بااختیار یہودی ریاست  کے لیے رضامند تھا ، تاہم  دیگر صہیونیوں نے  ارض اسرائیل کے ساتھ جڑی وابستگی،  جذبات اور  حکایتوں پر زور دیا۔ تحریک کا نام صہیون استعمال کرنے کے باوجود (جو دراصل  لفظ یروشلم کا ہم معنی ،بائبل میں مذکورہ او یروشلم میں واقع قلعہ داؤد یا قلعہ یبوس کے نام پر رکھا گیا ہے )، فلسطین  پر ہرتزل کی توجہ صہیونی منشور جودنستات(Judenstaat) کی 1986 ء میں اشاعت کے بعد مرکوز ہوئی، لیکن اس کے بعد بھی وہ  متذبذب تھا۔,صہیونی تحریک کے پہلے عشرے کے دوران، بہت سی صہیونی شخصیات نے فلسطین سے باہر یہودی ریاست کی حمایت کی، جیسے کے؟,['یوگنڈا اور ارجنٹائن']
صہیونی تحریک کی پہلی دہائی کے دوران کئی صہیونی شخصیات نے فلسطین  سے باہر کی جگہوں (جیسے یوگنڈا اور ارجنٹائن)میں  یہودی ریاست کی حمایت کی ۔ حتی کہ تھیوڈور  ہرتزل، سیاسی صہیونیت کا بانی اولاً کہیں بھی خودعنان و بااختیار یہودی ریاست  کے لیے رضامند تھا ، تاہم  دیگر صہیونیوں نے  ارض اسرائیل کے ساتھ جڑی وابستگی،  جذبات اور  حکایتوں پر زور دیا۔ تحریک کا نام صہیون استعمال کرنے کے باوجود (جو دراصل  لفظ یروشلم کا ہم معنی ،بائبل میں مذکورہ او یروشلم میں واقع قلعہ داؤد یا قلعہ یبوس کے نام پر رکھا گیا ہے )، فلسطین  پر ہرتزل کی توجہ صہیونی منشور جودنستات(Judenstaat) کی 1986 ء میں اشاعت کے بعد مرکوز ہوئی، لیکن اس کے بعد بھی وہ  متذبذب تھا۔,صیون کس کا مترادف ہے؟,['لفظ یروشلم']
صہیونی تحریک کی پہلی دہائی کے دوران کئی صہیونی شخصیات نے فلسطین  سے باہر کی جگہوں (جیسے یوگنڈا اور ارجنٹائن)میں  یہودی ریاست کی حمایت کی ۔ حتی کہ تھیوڈور  ہرتزل، سیاسی صہیونیت کا بانی اولاً کہیں بھی خودعنان و بااختیار یہودی ریاست  کے لیے رضامند تھا ، تاہم  دیگر صہیونیوں نے  ارض اسرائیل کے ساتھ جڑی وابستگی،  جذبات اور  حکایتوں پر زور دیا۔ تحریک کا نام صہیون استعمال کرنے کے باوجود (جو دراصل  لفظ یروشلم کا ہم معنی ،بائبل میں مذکورہ او یروشلم میں واقع قلعہ داؤد یا قلعہ یبوس کے نام پر رکھا گیا ہے )، فلسطین  پر ہرتزل کی توجہ صہیونی منشور جودنستات(Judenstaat) کی 1986 ء میں اشاعت کے بعد مرکوز ہوئی، لیکن اس کے بعد بھی وہ  متذبذب تھا۔,جودنستات کب شائع ہوا؟,['1986 ء ']
صہیونی تحریک کی پہلی دہائی کے دوران کئی صہیونی شخصیات نے فلسطین  سے باہر کی جگہوں (جیسے یوگنڈا اور ارجنٹائن)میں  یہودی ریاست کی حمایت کی ۔ حتی کہ تھیوڈور  ہرتزل، سیاسی صہیونیت کا بانی اولاً کہیں بھی خودعنان و بااختیار یہودی ریاست  کے لیے رضامند تھا ، تاہم  دیگر صہیونیوں نے  ارض اسرائیل کے ساتھ جڑی وابستگی،  جذبات اور  حکایتوں پر زور دیا۔ تحریک کا نام صہیون استعمال کرنے کے باوجود (جو دراصل  لفظ یروشلم کا ہم معنی ،بائبل میں مذکورہ او یروشلم میں واقع قلعہ داؤد یا قلعہ یبوس کے نام پر رکھا گیا ہے )، فلسطین  پر ہرتزل کی توجہ صہیونی منشور جودنستات(Judenstaat) کی 1986 ء میں اشاعت کے بعد مرکوز ہوئی، لیکن اس کے بعد بھی وہ  متذبذب تھا۔,تھیوڈور ہرزل نے ابتدا میں کس جگہ خودمختار یہودی ریاست کے حامی تھے؟,['کہیں بھی']
1903ء میں ، برطانونی  نوآبادیاتی سیکریٹری یوسف چیمبرلین نے  ھرتزل کو یہودی آبادکاری کے لیے زیر حمایت مستعمر یوگنڈا کا 5000 مربع میل علاقہ دینے کی پیشکش کی جو یوگنڈا سکیم کہلائی۔ عالمی صہیونی تنظیم کی چھٹی نشست میں اسی سال  اس پیشکش کو متعرف کرایا گیا جس پر ایک غضب ناک بحث واقع ہوئی۔ کچھ گروہوں کا خیال تھا کہ اس پیشکش کی منظوری فلسطین میں یہودی ریاست کے قیام کو  مزید دشوار کردیگا۔ ارض افریقہ کو ارض مقدسہ کے لیے بطور پیش کمرہ بیان کیا گیا۔ یہ رائے شماری کے ذریعے یہ فیصلہ کیا گیا کہ  تفتیش کے لیے زیر غورافریقی میدان مرتفعی علاقے میں ایک وفد بھیجا جائے۔ آمدہ سال  مجلس نے ایک وفد تفتیش کے لیے  بھیجا ،  وفد کے مطابق معتدل  آب و ہوا یورپی آبادکاروں کے لیے تومناسب تھی تاہم  مقامی ماسائی آبادی کیلئےاتنے زیادہ یورپی لوگوں کا ان کے علاقے میں امڈ آنا  قابل قبول نہ تھا۔ مزید برآں  وفد کو وہ خطہ ببر شیروں اور دیگر جنگلی جانور کی بہتات کی وجہ سے نامناسب معلوم ہوا۔,1903 میں برطانوی نوآبادیاتی سیکرٹری کون تھا؟,['یوسف چیمبرلین']
1903ء میں ، برطانونی  نوآبادیاتی سیکریٹری یوسف چیمبرلین نے  ھرتزل کو یہودی آبادکاری کے لیے زیر حمایت مستعمر یوگنڈا کا 5000 مربع میل علاقہ دینے کی پیشکش کی جو یوگنڈا سکیم کہلائی۔ عالمی صہیونی تنظیم کی چھٹی نشست میں اسی سال  اس پیشکش کو متعرف کرایا گیا جس پر ایک غضب ناک بحث واقع ہوئی۔ کچھ گروہوں کا خیال تھا کہ اس پیشکش کی منظوری فلسطین میں یہودی ریاست کے قیام کو  مزید دشوار کردیگا۔ ارض افریقہ کو ارض مقدسہ کے لیے بطور پیش کمرہ بیان کیا گیا۔ یہ رائے شماری کے ذریعے یہ فیصلہ کیا گیا کہ  تفتیش کے لیے زیر غورافریقی میدان مرتفعی علاقے میں ایک وفد بھیجا جائے۔ آمدہ سال  مجلس نے ایک وفد تفتیش کے لیے  بھیجا ،  وفد کے مطابق معتدل  آب و ہوا یورپی آبادکاروں کے لیے تومناسب تھی تاہم  مقامی ماسائی آبادی کیلئےاتنے زیادہ یورپی لوگوں کا ان کے علاقے میں امڈ آنا  قابل قبول نہ تھا۔ مزید برآں  وفد کو وہ خطہ ببر شیروں اور دیگر جنگلی جانور کی بہتات کی وجہ سے نامناسب معلوم ہوا۔,یوسف چیمبرلین نے ہرٹزل کو کیا پیشکش کی؟	,['مستعمر یوگنڈا کا 5000 مربع میل علاقہ']
1903ء میں ، برطانونی  نوآبادیاتی سیکریٹری یوسف چیمبرلین نے  ھرتزل کو یہودی آبادکاری کے لیے زیر حمایت مستعمر یوگنڈا کا 5000 مربع میل علاقہ دینے کی پیشکش کی جو یوگنڈا سکیم کہلائی۔ عالمی صہیونی تنظیم کی چھٹی نشست میں اسی سال  اس پیشکش کو متعرف کرایا گیا جس پر ایک غضب ناک بحث واقع ہوئی۔ کچھ گروہوں کا خیال تھا کہ اس پیشکش کی منظوری فلسطین میں یہودی ریاست کے قیام کو  مزید دشوار کردیگا۔ ارض افریقہ کو ارض مقدسہ کے لیے بطور پیش کمرہ بیان کیا گیا۔ یہ رائے شماری کے ذریعے یہ فیصلہ کیا گیا کہ  تفتیش کے لیے زیر غورافریقی میدان مرتفعی علاقے میں ایک وفد بھیجا جائے۔ آمدہ سال  مجلس نے ایک وفد تفتیش کے لیے  بھیجا ،  وفد کے مطابق معتدل  آب و ہوا یورپی آبادکاروں کے لیے تومناسب تھی تاہم  مقامی ماسائی آبادی کیلئےاتنے زیادہ یورپی لوگوں کا ان کے علاقے میں امڈ آنا  قابل قبول نہ تھا۔ مزید برآں  وفد کو وہ خطہ ببر شیروں اور دیگر جنگلی جانور کی بہتات کی وجہ سے نامناسب معلوم ہوا۔,صیہونیوں کے لیے یوگنڈا اسکیم کی تجویز کب پیش کی گئی؟,['عالمی صہیونی تنظیم کی چھٹی نشست میں']
1904ء میں ہرتزل کی موت کے بعد  جولائی 1905ء میں ساتویں نشست کے  چوتھے دن مجلس نے فیصلہ کیا کہ برطانوی پیشکش کو مسترد کیا جائے اور آدم رونورکے مطابق’’ آئندہ کی تمام تر جدوجہدکا رخ  فقط خطہ فلسطین پر مرکوز رکھاجائےگا‘‘۔ یہودی اقلیمی تنظیم کا حامی  اسرائیل زنگویل  کی آرزو تھی کہ  یوگنڈا تجویز کے جواب میں ریاست کہیں بھی  بنالی جائے جسے بہت سے مندوبین مجلس کی حمایت حاصل ہوئی۔   رائے شماری کے بعد ، جسے میکس نورڈاؤ نے پیش کیا ، زنگویل  نے نورڈاؤ پر الزام لگایا کہ ’’ تاریخ  کی عدالت میں نورڈاؤ اس کا ذمہ دار ٹھرایا جائے گا‘‘ جبکہ اس کے حامیوں نے  میناکھیم یوسیشکن کے  روس نواز اتحاد کورائے شماری کے نتیجہ کا ذمہ دار ٹھرایا۔,ہرتزل کی موت کس سال ہوئی؟,['1904ء ']
1904ء میں ہرتزل کی موت کے بعد  جولائی 1905ء میں ساتویں نشست کے  چوتھے دن مجلس نے فیصلہ کیا کہ برطانوی پیشکش کو مسترد کیا جائے اور آدم رونورکے مطابق’’ آئندہ کی تمام تر جدوجہدکا رخ  فقط خطہ فلسطین پر مرکوز رکھاجائےگا‘‘۔ یہودی اقلیمی تنظیم کا حامی  اسرائیل زنگویل  کی آرزو تھی کہ  یوگنڈا تجویز کے جواب میں ریاست کہیں بھی  بنالی جائے جسے بہت سے مندوبین مجلس کی حمایت حاصل ہوئی۔   رائے شماری کے بعد ، جسے میکس نورڈاؤ نے پیش کیا ، زنگویل  نے نورڈاؤ پر الزام لگایا کہ ’’ تاریخ  کی عدالت میں نورڈاؤ اس کا ذمہ دار ٹھرایا جائے گا‘‘ جبکہ اس کے حامیوں نے  میناکھیم یوسیشکن کے  روس نواز اتحاد کورائے شماری کے نتیجہ کا ذمہ دار ٹھرایا۔,صیہونی مجلس نے برطانوی تجویز کو مسترد کرنے کا فیصلہ کب کیا؟,['جولائی 1905ء میں ساتویں نشست کے\xa0 چوتھے']
1904ء میں ہرتزل کی موت کے بعد  جولائی 1905ء میں ساتویں نشست کے  چوتھے دن مجلس نے فیصلہ کیا کہ برطانوی پیشکش کو مسترد کیا جائے اور آدم رونورکے مطابق’’ آئندہ کی تمام تر جدوجہدکا رخ  فقط خطہ فلسطین پر مرکوز رکھاجائےگا‘‘۔ یہودی اقلیمی تنظیم کا حامی  اسرائیل زنگویل  کی آرزو تھی کہ  یوگنڈا تجویز کے جواب میں ریاست کہیں بھی  بنالی جائے جسے بہت سے مندوبین مجلس کی حمایت حاصل ہوئی۔   رائے شماری کے بعد ، جسے میکس نورڈاؤ نے پیش کیا ، زنگویل  نے نورڈاؤ پر الزام لگایا کہ ’’ تاریخ  کی عدالت میں نورڈاؤ اس کا ذمہ دار ٹھرایا جائے گا‘‘ جبکہ اس کے حامیوں نے  میناکھیم یوسیشکن کے  روس نواز اتحاد کورائے شماری کے نتیجہ کا ذمہ دار ٹھرایا۔,اسرائیل زنگویل کون تھا؟,['یہودی اقلیمی تنظیم کا حامی']
جرمنوں کے سواستکا کے نشان کو اختیار کرنے پر  تھیوڈور نیومن کاؤفمن نے جواباً  ایک نسلی جنگ چھیڑی اور داخلی تولیدِ جرمنیت کے  تصور سے رجوع کیا، ’’جرمنی کا خاتمہ ضروری ہے‘‘کا  جرمنی مخالف  مضمون لکھا،  جیسے  دوسری جانب  روزنامہ  ایکسپریس لندن نازی مخالف مقاطعہ کی دعوت دیتا رہا، یونہی  ہٹلر سے قبل بھی جرمن سام دشمنی کے جواب میں بھی  مضامین لکھے جاتے رہے۔  ’’یہود نے مرگ انبوہ شروع کرائی ‘‘ کے سازشی نظریہ کو اسی بات نے جنم دیا، باوجودیکہ  نازی تشہیری وزیر جوزیف گوئبلز  بڑی حد تک یہود کا قلع قمع کیا جانے اورمحبِ وطن یہود کو نظر اندز کرکے جرمن مخالف یہودی مواد کی بطور ثبوت تشہیرکرنے  کا ذمہ دار تھا۔,جوزیف گوئبلز کون تھا؟,['نازی تشہیری وزیر']
جرمنوں کے سواستکا کے نشان کو اختیار کرنے پر  تھیوڈور نیومن کاؤفمن نے جواباً  ایک نسلی جنگ چھیڑی اور داخلی تولیدِ جرمنیت کے  تصور سے رجوع کیا، ’’جرمنی کا خاتمہ ضروری ہے‘‘کا  جرمنی مخالف  مضمون لکھا،  جیسے  دوسری جانب  روزنامہ  ایکسپریس لندن نازی مخالف مقاطعہ کی دعوت دیتا رہا، یونہی  ہٹلر سے قبل بھی جرمن سام دشمنی کے جواب میں بھی  مضامین لکھے جاتے رہے۔  ’’یہود نے مرگ انبوہ شروع کرائی ‘‘ کے سازشی نظریہ کو اسی بات نے جنم دیا، باوجودیکہ  نازی تشہیری وزیر جوزیف گوئبلز  بڑی حد تک یہود کا قلع قمع کیا جانے اورمحبِ وطن یہود کو نظر اندز کرکے جرمن مخالف یہودی مواد کی بطور ثبوت تشہیرکرنے  کا ذمہ دار تھا۔,تھیوڈور نیومن کافمین نے جرمنی کے سواستیکا کو اپنانے کے جواب میں کیا مضمون لکھا؟,['جرمنی کا خاتمہ ضروری ہے']
جرمنوں کے سواستکا کے نشان کو اختیار کرنے پر  تھیوڈور نیومن کاؤفمن نے جواباً  ایک نسلی جنگ چھیڑی اور داخلی تولیدِ جرمنیت کے  تصور سے رجوع کیا، ’’جرمنی کا خاتمہ ضروری ہے‘‘کا  جرمنی مخالف  مضمون لکھا،  جیسے  دوسری جانب  روزنامہ  ایکسپریس لندن نازی مخالف مقاطعہ کی دعوت دیتا رہا، یونہی  ہٹلر سے قبل بھی جرمن سام دشمنی کے جواب میں بھی  مضامین لکھے جاتے رہے۔  ’’یہود نے مرگ انبوہ شروع کرائی ‘‘ کے سازشی نظریہ کو اسی بات نے جنم دیا، باوجودیکہ  نازی تشہیری وزیر جوزیف گوئبلز  بڑی حد تک یہود کا قلع قمع کیا جانے اورمحبِ وطن یہود کو نظر اندز کرکے جرمن مخالف یہودی مواد کی بطور ثبوت تشہیرکرنے  کا ذمہ دار تھا۔,"""جرمنی کا خاتمہ ضروری ہے"" مضمون کس نے لکھا؟",['تھیوڈور نیومن کاؤفمن']
1933ء میں ، ہٹلر جرمنی کے اقتدار میں آیا  اور 1935ء میں نوریمبرگ قوانین نے جرمن یہود(بعد میں آسٹریائی یہود  اور چیک یہود بھی )کو بے ریاست پناہ گزین بنا ڈالا۔ کئی یورپی محوری قوتوں نے ایسے ہی قوانین نافذ کیے۔ بعد ازاں بڑھتی یہودی نقل مکانی اور عربوں کے لیے کی گئی نازی پرچار کی وجہ سے 1936ء سے 1939ء کے فلسطینی دنگے رونما ہوئے۔ برطانیہ نے تحقیقات  کے لیے پیل کمیشن بنایا،  دو ریاستی حل اور جبری منتقلی آبادی کی تجویز دی۔ برطانیہ نے یہ تجویز رد کی اور  1939ء کی رپورٹ کی تجاویز نافذ کر دیں۔ جس کے مطابق 1944 ء تک  یہودی نقل مکانی کو ختم ہونا تھا اور صرف75000  اضافی سے زائد یہودی مہاجرین کو نقل مکانی  کی اجازت  تھی۔ یہ پالیسی برطانیہ نے تعہد فلسطین کے اختتام تک جاری رکھی۔,جرمنی میں ہٹلر کی حکومت کب آئی؟,['1933ء ']
1933ء میں ، ہٹلر جرمنی کے اقتدار میں آیا  اور 1935ء میں نوریمبرگ قوانین نے جرمن یہود(بعد میں آسٹریائی یہود  اور چیک یہود بھی )کو بے ریاست پناہ گزین بنا ڈالا۔ کئی یورپی محوری قوتوں نے ایسے ہی قوانین نافذ کیے۔ بعد ازاں بڑھتی یہودی نقل مکانی اور عربوں کے لیے کی گئی نازی پرچار کی وجہ سے 1936ء سے 1939ء کے فلسطینی دنگے رونما ہوئے۔ برطانیہ نے تحقیقات  کے لیے پیل کمیشن بنایا،  دو ریاستی حل اور جبری منتقلی آبادی کی تجویز دی۔ برطانیہ نے یہ تجویز رد کی اور  1939ء کی رپورٹ کی تجاویز نافذ کر دیں۔ جس کے مطابق 1944 ء تک  یہودی نقل مکانی کو ختم ہونا تھا اور صرف75000  اضافی سے زائد یہودی مہاجرین کو نقل مکانی  کی اجازت  تھی۔ یہ پالیسی برطانیہ نے تعہد فلسطین کے اختتام تک جاری رکھی۔,1935 میں کن قوانین نے جرمن یہودیوں کو بے وطن پناہ گزین بنا دیا؟,['نوریمبرگ قوانین']
1933ء میں ، ہٹلر جرمنی کے اقتدار میں آیا  اور 1935ء میں نوریمبرگ قوانین نے جرمن یہود(بعد میں آسٹریائی یہود  اور چیک یہود بھی )کو بے ریاست پناہ گزین بنا ڈالا۔ کئی یورپی محوری قوتوں نے ایسے ہی قوانین نافذ کیے۔ بعد ازاں بڑھتی یہودی نقل مکانی اور عربوں کے لیے کی گئی نازی پرچار کی وجہ سے 1936ء سے 1939ء کے فلسطینی دنگے رونما ہوئے۔ برطانیہ نے تحقیقات  کے لیے پیل کمیشن بنایا،  دو ریاستی حل اور جبری منتقلی آبادی کی تجویز دی۔ برطانیہ نے یہ تجویز رد کی اور  1939ء کی رپورٹ کی تجاویز نافذ کر دیں۔ جس کے مطابق 1944 ء تک  یہودی نقل مکانی کو ختم ہونا تھا اور صرف75000  اضافی سے زائد یہودی مہاجرین کو نقل مکانی  کی اجازت  تھی۔ یہ پالیسی برطانیہ نے تعہد فلسطین کے اختتام تک جاری رکھی۔,پیل کمیشن کس نے بنایا؟,['برطانیہ']
1933ء میں ، ہٹلر جرمنی کے اقتدار میں آیا  اور 1935ء میں نوریمبرگ قوانین نے جرمن یہود(بعد میں آسٹریائی یہود  اور چیک یہود بھی )کو بے ریاست پناہ گزین بنا ڈالا۔ کئی یورپی محوری قوتوں نے ایسے ہی قوانین نافذ کیے۔ بعد ازاں بڑھتی یہودی نقل مکانی اور عربوں کے لیے کی گئی نازی پرچار کی وجہ سے 1936ء سے 1939ء کے فلسطینی دنگے رونما ہوئے۔ برطانیہ نے تحقیقات  کے لیے پیل کمیشن بنایا،  دو ریاستی حل اور جبری منتقلی آبادی کی تجویز دی۔ برطانیہ نے یہ تجویز رد کی اور  1939ء کی رپورٹ کی تجاویز نافذ کر دیں۔ جس کے مطابق 1944 ء تک  یہودی نقل مکانی کو ختم ہونا تھا اور صرف75000  اضافی سے زائد یہودی مہاجرین کو نقل مکانی  کی اجازت  تھی۔ یہ پالیسی برطانیہ نے تعہد فلسطین کے اختتام تک جاری رکھی۔,پیل کمیشن نے کیا تجویز پیش کی تھی؟,['دو ریاستی حل اور جبری منتقلی آبادی']
تھے۔ مرگ انبوہ نے دنیائے یہود کو صہیونی منصوبے کے تحت یکجا کر دیا تھا۔برطانیہ نے ان یہود میں سے کچھ کو قبرص میں قید کیا یا برطانوی زیر تسلط جرمن علاقوں میں بھیج دیا۔جس کی وجہ سے یہودی نقل مکانی کی وجہ سے عرب بغاوت کا سامنہ کرنے کے بعد اب برطانیہ کو کی مخالفت کا سامنا تھا۔ جنوری 1946ء میں برطانوی امریکی مشترکہ کمیٹی بنائی گئی تاکہ بے پایاں یہودی نقل مکانی فلسطین کے سیاسی ، معاشی  اور سماجی   محرکات کی جانچ اورفلسطینی شہریوں کی بہبود   ہو سکے ،عرب اور یہود ترجمانوں سے مشاورت اور دیگر ضروری تجاویز دی جاسکیں ، ان مسائل کا حتمی  حل ڈھونڈا جاسکے ۔  تاہم آخر میں کمیٹی کی سفارشات کو عرب و یہود دونوں نے رد کر دیا چنانچہ برطانیہ نے مسئلہ اقوام متحدہ میں لے جانے کا فیصلہ کیا۔,صیہونی منصوبے کے تحت دنیا کے یہودیوں کو کس تحریک نے متحد کیا؟,['مرگ انبوہ']
تھے۔ مرگ انبوہ نے دنیائے یہود کو صہیونی منصوبے کے تحت یکجا کر دیا تھا۔برطانیہ نے ان یہود میں سے کچھ کو قبرص میں قید کیا یا برطانوی زیر تسلط جرمن علاقوں میں بھیج دیا۔جس کی وجہ سے یہودی نقل مکانی کی وجہ سے عرب بغاوت کا سامنہ کرنے کے بعد اب برطانیہ کو کی مخالفت کا سامنا تھا۔ جنوری 1946ء میں برطانوی امریکی مشترکہ کمیٹی بنائی گئی تاکہ بے پایاں یہودی نقل مکانی فلسطین کے سیاسی ، معاشی  اور سماجی   محرکات کی جانچ اورفلسطینی شہریوں کی بہبود   ہو سکے ،عرب اور یہود ترجمانوں سے مشاورت اور دیگر ضروری تجاویز دی جاسکیں ، ان مسائل کا حتمی  حل ڈھونڈا جاسکے ۔  تاہم آخر میں کمیٹی کی سفارشات کو عرب و یہود دونوں نے رد کر دیا چنانچہ برطانیہ نے مسئلہ اقوام متحدہ میں لے جانے کا فیصلہ کیا۔,برطانوی امریکی مشترکہ کمیٹی کیوں بنائی گئی؟,['بے پایاں یہودی نقل مکانی فلسطین کے سیاسی ، معاشی\xa0 اور سماجی \xa0 محرکات کی جانچ']
